"","week.day","hour","Leeds.trains","Leeds.av.delay","Sheffield.trains","Sheffield.av.delay","Nottingham.trains","Nottingham.av.delay","arrival.to","arrival.time","arrival.schedule","delay.secs","train_code"
"1140","Saturday",18,38,0,24,0,13,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1141","Sunday",11,25,0,12,0,3,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1142","Sunday",13,24,0.25,15,0,4,0.25,"NTNG",NA,"13:58:00",NA,"1Y29"
"1143","Sunday",15,25,0,17,0,7,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1144","Sunday",18,25,0,19,0,5,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1145","Sunday",20,25,0,18,0,6,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1146","Monday",8,41,0.5,21,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1147","Monday",9,42,0,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1148","Monday",13,44,0.5,20,1.25,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1149","Monday",16,38,0,20,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1150","Monday",17,42,0,24,2,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1151","Tuesday",7,31,0,19,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1152","Tuesday",8,39,0,21,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1153","Wednesday",7,33,0,17,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1154","Wednesday",8,37,0,21,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1155","Wednesday",9,43,0,24,0.25,11,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1156","Wednesday",13,42,0.5,23,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1157","Wednesday",17,42,0,22,0.5,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1158","Wednesday",19,43,0,22,0,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1159","Thursday",9,46,0.75,21,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1160","Thursday",12,38,0,23,1,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1161","Thursday",19,44,0.75,24,1.75,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1162","Thursday",20,41,0,20,0.25,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1163","Friday",7,31,0,18,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1164","Friday",8,39,0,19,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1165","Friday",9,43,0,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1166","Friday",16,37,0,22,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1167","Friday",19,44,1.5,29,2,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1168","Saturday",11,38,0,22,0,13,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1169","Saturday",20,34,0,21,0,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1170","Sunday",20,23,0,19,0,6,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1171","Monday",13,42,0.25,22,0.5,13,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1172","Monday",16,39,0.5,20,1.5,12,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1173","Monday",18,43,0,21,0,15,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1174","Tuesday",14,39,0,24,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1175","Wednesday",10,39,0,24,0,13,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1176","Wednesday",14,41,0,22,1.5,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1177","Thursday",10,37,0,24,0,12,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1178","Thursday",13,42,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1179","Thursday",16,40,0,23,0,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1180","Friday",19,44,0,23,1,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1181","Saturday",8,34,0,20,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1182","Saturday",9,38,0,24,0,12,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1183","Saturday",15,37,0,23,0.5,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1184","Sunday",10,23,0,8,0,5,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1185","Sunday",14,23,0,17,0,7,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1186","Sunday",15,27,0,17,0,7,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1187","Monday",18,44,0,23,0,13,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1188","Tuesday",9,42,0.25,21,3,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1189","Wednesday",11,39,0.5,22,1,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1190","Wednesday",13,40,0.5,24,1,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1191","Thursday",8,39,0.5,20,0,12,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1192","Thursday",13,43,2.5,27,2.5,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1193","Friday",9,41,1,24,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1194","Friday",12,38,0,21,1.5,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1195","Saturday",9,41,0,25,0.5,12,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1196","Sunday",13,25,0,15,1.5,5,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1197","Sunday",18,31,0,18,0,8,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1198","Monday",10,42,2.5,24,0,11,3,"NTNG",NA,"10:58:00",NA,"1Y17"
"1199","Monday",12,41,0.5,23,2,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1200","Monday",15,36,0,23,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1201","Monday",19,41,1.5,26,0.25,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1202","Wednesday",18,47,0,24,0,13,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1203","Thursday",17,43,0,20,0,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1204","Friday",7,30,0,16,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1205","Friday",18,44,0,23,1,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1206","Saturday",8,35,0,20,0,12,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1207","Saturday",14,36,0,23,0,13,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1208","Saturday",15,39,0,21,0,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1209","Saturday",16,33,0,22,0.5,13,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1210","Saturday",17,37,0,24,0,13,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1211","Sunday",14,24,0,16,0,7,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1212","Sunday",17,26,0,19,0,9,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1213","Monday",7,30,0,16,0,12,0.75,"NTNG",NA,"07:58:00",NA,"1Y05"
"1214","Monday",12,40,0,23,2,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1215","Monday",14,39,0.5,24,1.75,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1216","Monday",19,42,0.25,20,0,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1217","Tuesday",7,31,0,17,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1218","Tuesday",8,38,0,22,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1219","Tuesday",9,42,0.5,23,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1220","Tuesday",10,38,0,24,0,13,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1221","Wednesday",10,39,0,26,0,13,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1222","Thursday",9,43,1,22,1,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1223","Thursday",11,40,0,21,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1224","Thursday",13,38,0,25,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1225","Thursday",14,42,0,24,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1226","Thursday",15,37,0,21,0,14,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1227","Thursday",19,41,0,24,0,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1228","Thursday",20,37,1,22,0,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1229","Friday",8,41,0,21,0.5,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1230","Friday",9,41,0,19,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1231","Friday",15,37,0,19,3,12,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1232","Saturday",8,33,0,20,0,11,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1233","Saturday",18,31,0,23,0,12,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1234","Tuesday",7,29,0,19,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1235","Tuesday",10,41,0.5,23,0.5,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1236","Tuesday",13,42,0,26,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1237","Wednesday",9,44,0.5,20,0,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1238","Wednesday",18,44,0,24,0.25,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1239","Wednesday",19,41,0,24,1.25,14,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1240","Thursday",8,41,1,22,1,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1241","Thursday",12,39,0.5,22,0,11,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1242","Thursday",19,43,0.5,25,2,13,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1243","Thursday",20,39,1.5,25,1,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1244","Friday",10,40,0,25,0,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1245","Friday",12,41,0.5,23,0,14,0,"NTNG",NA,"12:58:00",NA,"1Y25"
"1246","Saturday",14,32,0.5,23,0,13,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1247","Saturday",15,31,0.5,21,0,13,0,"NTNG",NA,"15:58:00",NA,"1Y37"
"1248","Saturday",16,32,0.5,24,0.25,11,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1249","Saturday",17,34,0,26,0,14,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1250","Saturday",20,31,1.5,22,0.75,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1251","Sunday",11,27,2,10,0,3,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1252","Sunday",13,21,0,15,0,5,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1253","Sunday",16,21,0,19,0,8,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1254","Sunday",17,23,0.5,18,0,10,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1255","Sunday",20,20,0,20,0.5,8,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1256","Monday",8,39,0.5,22,0,13,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1257","Monday",13,40,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1258","Monday",18,47,0,23,0,14,0.25,"NTNG",NA,"18:58:00",NA,"1Y49"
"1259","Tuesday",11,40,0.5,19,0,14,0,"NTNG",NA,"11:58:00",NA,"1Y21"
"1260","Tuesday",14,40,0,25,0,14,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1261","Tuesday",19,42,1.5,26,0,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1262","Tuesday",20,41,0,21,0.5,12,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1263","Wednesday",9,45,2.5,23,1.5,13,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1264","Wednesday",14,39,0,27,0,13,0,"NTNG",NA,"14:58:00",NA,"1Y33"
"1265","Wednesday",20,36,1,23,0,12,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1266","Thursday",8,38,0,20,0,14,0,"NTNG",NA,"08:58:00",NA,"1Y09"
"1267","Thursday",10,39,0,22,0.25,14,0,"NTNG",NA,"10:58:00",NA,"1Y17"
"1268","Thursday",17,43,0,21,1,15,0,"NTNG",NA,"17:58:00",NA,"1Y45"
"1269","Thursday",20,37,1,21,3,11,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1270","Friday",7,31,0,17,0,11,0,"NTNG",NA,"07:58:00",NA,"1Y05"
"1271","Friday",13,40,0,24,0,14,0,"NTNG",NA,"13:58:00",NA,"1Y29"
"1272","Friday",16,38,0,21,0.5,14,0,"NTNG",NA,"16:58:00",NA,"1Y41"
"1273","Friday",18,44,0.5,23,3.5,14,0,"NTNG",NA,"18:58:00",NA,"1Y49"
"1274","Friday",19,41,1.5,24,2.5,12,0,"NTNG",NA,"19:58:00",NA,"1Y53"
"1275","Saturday",9,40,0,25,0,12,0,"NTNG",NA,"09:58:00",NA,"1Y13"
"1276","Saturday",20,32,1,20,2.5,10,0,"NTNG",NA,"20:58:00",NA,"1Y57"
"1277","Sunday",11,22,0.5,10,0,3,0,"NTNG",NA,"11:58:00",NA,"1Y21"
