"","week.day","hour","Leeds.trains","Leeds.av.delay","Sheffield.trains","Sheffield.av.delay","Nottingham.trains","Nottingham.av.delay","arrival.to","arrival.time","arrival.schedule","delay.secs","train_code"
"140","Sunday",16,22,0.25,18,0,7,0,"NTNG","16:52:43","16:58:00",-317,"1Y41"
"141","Wednesday",8,39,0,18,0.25,13,0,"NTNG","08:54:30","08:58:00",-210,"1Y09"
"142","Friday",14,41,0,21,1,13,0,"NTNG","14:52:32","14:58:00",-328,"1Y33"
"143","Saturday",12,33,0,25,0,12,0,"NTNG","12:53:20","12:58:00",-280,"1Y25"
"144","Sunday",16,18,0,20,0,9,0,"NTNG","16:58:21","16:58:00",21,"1Y41"
"145","Monday",7,34,0,18,0,11,0,"NTNG","07:55:31","07:58:00",-149,"1Y05"
"146","Monday",12,37,0,24,0,14,0,"NTNG","12:53:11","12:58:00",-289,"1Y25"
"147","Sunday",18,28,0,18,0,8,0,"NTNG","19:16:27","18:58:00",1107,"1Y49"
"148","Friday",8,39,0,20,1.25,14,0,"NTNG","08:55:28","08:58:00",-152,"1Y09"
"149","Tuesday",15,39,0,26,0.25,14,0,"NTNG","15:53:56","15:58:00",-244,"1Y37"
"150","Sunday",10,23,0,9,0,6,0,"NTNG","10:54:12","10:58:00",-228,"1Y17"
"151","Thursday",16,37,1.5,19,0,14,0,"NTNG","16:56:45","16:58:00",-75,"1Y41"
"152","Tuesday",9,42,2,20,1.75,13,0,"NTNG","10:02:56","09:58:00",296,"1Y13"
"153","Sunday",14,26,0.5,16,0,8,0,"NTNG","14:55:09","14:58:00",-171,"1Y33"
"154","Monday",8,37,0,21,0,13,0,"NTNG","08:57:43","08:58:00",-17,"1Y09"
"155","Wednesday",13,41,0.5,27,0.5,14,0,"NTNG","13:54:57","13:58:00",-183,"1Y29"
"156","Saturday",19,33,0,24,2.75,12,0,"NTNG","19:56:35","19:58:00",-85,"1Y53"
"157","Monday",15,36,0,20,0,14,0,"NTNG","15:55:33","15:58:00",-147,"1Y37"
"158","Wednesday",12,39,0,21,0,14,0,"NTNG","12:55:27","12:58:00",-153,"1Y25"
"159","Wednesday",15,38,0,23,0,13,0,"NTNG","15:53:32","15:58:00",-268,"1Y37"
"160","Sunday",10,18,0,9,0,5,0,"NTNG","10:58:45","10:58:00",45,"1Y17"
"161","Tuesday",9,43,0.5,21,0,14,0,"NTNG","09:55:18","09:58:00",-162,"1Y13"
"162","Monday",18,35,1,23,2,12,0,"NTNG","18:56:40","18:58:00",-80,"1Y49"
"163","Friday",11,41,0.5,24,0,14,0,"NTNG","11:53:55","11:58:00",-245,"1Y21"
"164","Thursday",10,42,0.75,23,0,13,0,"NTNG","10:56:47","10:58:00",-73,"1Y17"
"165","Tuesday",19,41,2,24,0,14,0,"NTNG","19:55:13","19:58:00",-167,"1Y53"
"166","Sunday",11,28,0,11,0,4,1.25,"NTNG","11:52:04","11:58:00",-356,"1Y21"
"167","Wednesday",20,35,0,23,0.5,11,0,"NTNG","21:00:39","20:58:00",159,"1Y57"
"168","Wednesday",12,41,1,22,0,15,0,"NTNG","12:54:15","12:58:00",-225,"1Y25"
"169","Wednesday",7,32,0,19,0,11,0,"NTNG","07:52:04","07:58:00",-356,"1Y05"
"170","Friday",11,34,2,21,0,14,0,"NTNG","12:01:45","11:58:00",225,"1Y21"
"171","Saturday",16,35,0,23,0.5,13,0,"NTNG","17:00:27","16:58:00",147,"1Y41"
"172","Sunday",10,23,0,8,0,6,0,"NTNG","10:57:15","10:58:00",-45,"1Y17"
"173","Thursday",15,36,0.5,22,0,13,0,"NTNG","15:56:25","15:58:00",-95,"1Y37"
"174","Wednesday",12,39,0.5,21,2,14,0,"NTNG","12:53:21","12:58:00",-279,"1Y25"
"175","Monday",9,43,1.5,20,1,12,0,"NTNG","09:53:35","09:58:00",-265,"1Y13"
"176","Saturday",18,38,0,24,0.25,13,0,"NTNG","18:53:23","18:58:00",-277,"1Y49"
"177","Friday",10,40,0,22,0,14,0,"NTNG","10:55:26","10:58:00",-154,"1Y17"
"178","Monday",9,31,0,24,0.5,13,0,"NTNG","09:52:21","09:58:00",-339,"1Y13"
"179","Thursday",19,40,2.5,25,1.5,14,0,"NTNG","19:57:21","19:58:00",-39,"1Y53"
"180","Sunday",15,23,0,16,0,7,0,"NTNG","15:54:19","15:58:00",-221,"1Y37"
"181","Saturday",13,40,0.5,24,0.5,12,0,"NTNG","13:53:53","13:58:00",-247,"1Y29"
"182","Sunday",18,29,0,18,0,7,0,"NTNG","18:54:52","18:58:00",-188,"1Y49"
"183","Sunday",20,18,0.25,21,0,5,0,"NTNG","20:56:32","20:58:00",-88,"1Y57"
"184","Wednesday",10,41,0,26,0,14,0,"NTNG","10:52:27","10:58:00",-333,"1Y17"
"185","Monday",11,37,0,21,0,14,0,"NTNG","11:55:13","11:58:00",-167,"1Y21"
"186","Tuesday",19,42,0.5,23,0,15,0,"NTNG","19:52:58","19:58:00",-302,"1Y53"
"187","Monday",14,38,0.25,26,2.25,14,0,"NTNG","14:56:00","14:58:00",-120,"1Y33"
"188","Tuesday",13,41,0,22,0,14,0,"NTNG","13:53:17","13:58:00",-283,"1Y29"
"189","Tuesday",20,37,1.5,21,1,10,0,"NTNG","20:56:02","20:58:00",-118,"1Y57"
"190","Friday",20,37,0.5,23,2,11,1.5,"NTNG","20:56:09","20:58:00",-111,"1Y57"
"191","Saturday",16,36,0,22,0.5,13,0,"NTNG","16:55:30","16:58:00",-150,"1Y41"
"192","Saturday",11,36,0,21,1,13,0,"NTNG","12:28:13","11:58:00",1813,"1Y21"
"193","Friday",15,37,0,23,0.5,14,0,"NTNG","15:57:43","15:58:00",-17,"1Y37"
"194","Thursday",8,37,0,20,0.25,13,0,"NTNG","09:00:13","08:58:00",133,"1Y09"
"195","Tuesday",11,41,1.5,22,2.5,14,0,"NTNG","11:55:11","11:58:00",-169,"1Y21"
"196","Wednesday",12,41,1,22,0,14,0,"NTNG","12:56:35","12:58:00",-85,"1Y25"
"197","Sunday",14,19,0,17,0,7,0,"NTNG","14:55:10","14:58:00",-170,"1Y33"
"198","Wednesday",15,39,0,25,2,14,0,"NTNG","15:56:10","15:58:00",-110,"1Y37"
"199","Tuesday",12,39,0,22,0.5,14,0,"NTNG","12:55:16","12:58:00",-164,"1Y25"
"1100","Saturday",17,38,0,23,0,13,0,"NTNG","17:55:40","17:58:00",-140,"1Y45"
"1101","Saturday",20,33,6,21,1.5,11,7,"NTNG","20:54:57","20:58:00",-183,"1Y57"
"1102","Monday",7,32,0,20,0,11,0,"NTNG","07:51:54","07:58:00",-366,"1Y05"
"1103","Sunday",14,23,0,16,0,7,0,"NTNG","14:54:52","14:58:00",-188,"1Y33"
"1104","Monday",18,44,2.75,20,0.5,14,0.25,"NTNG","18:56:54","18:58:00",-66,"1Y49"
"1105","Wednesday",10,36,0,22,0,14,0,"NTNG","10:54:05","10:58:00",-235,"1Y17"
"1106","Wednesday",15,39,0,23,0,14,0,"NTNG","15:52:18","15:58:00",-342,"1Y37"
"1107","Tuesday",16,36,0.5,21,1,14,0,"NTNG","17:02:33","16:58:00",273,"1Y41"
"1108","Friday",10,43,0,21,0,14,0,"NTNG","10:53:51","10:58:00",-249,"1Y17"
"1109","Tuesday",18,45,0,22,0,14,0,"NTNG","18:55:10","18:58:00",-170,"1Y49"
"1110","Wednesday",20,39,1,25,2,11,0,"NTNG","20:53:44","20:58:00",-256,"1Y57"
"1111","Saturday",12,33,0,22,0.5,12,0,"NTNG","12:55:14","12:58:00",-166,"1Y25"
"1112","Friday",7,31,0,17,0,11,0,"NTNG","07:59:01","07:58:00",61,"1Y05"
"1113","Saturday",13,39,0,25,0,13,0,"NTNG","13:56:05","13:58:00",-115,"1Y29"
"1114","Friday",16,38,0,22,0.75,15,0,"NTNG","16:53:45","16:58:00",-255,"1Y41"
"1115","Tuesday",8,40,1.25,23,1.5,13,0,"NTNG","09:00:31","08:58:00",151,"1Y09"
"1116","Tuesday",16,41,0,23,0,14,0,"NTNG","16:56:27","16:58:00",-93,"1Y41"
"1117","Wednesday",15,37,0,23,1,14,0,"NTNG","15:54:04","15:58:00",-236,"1Y37"
"1118","Monday",7,32,0,18,0.25,11,0,"NTNG","07:58:37","07:58:00",37,"1Y05"
"1119","Sunday",17,27,0,15,0,10,0.25,"NTNG","17:53:32","17:58:00",-268,"1Y45"
"1120","Tuesday",16,35,0,23,0,13,0,"NTNG","16:54:37","16:58:00",-203,"1Y41"
"1121","Thursday",16,34,0,21,0.5,14,0,"NTNG","16:54:16","16:58:00",-224,"1Y41"
"1122","Thursday",19,41,1.5,23,3,11,0,"NTNG","19:55:29","19:58:00",-151,"1Y53"
"1123","Tuesday",11,43,0,22,0,14,0,"NTNG","11:52:28","11:58:00",-332,"1Y21"
"1124","Thursday",17,40,0,20,1.5,16,0,"NTNG","18:00:26","17:58:00",146,"1Y45"
"1125","Friday",10,42,0,21,0,14,0,"NTNG","10:55:08","10:58:00",-172,"1Y17"
"1126","Wednesday",17,44,0,23,0,15,0,"NTNG","17:54:43","17:58:00",-197,"1Y45"
"1127","Monday",16,38,0,21,1,14,0,"NTNG","16:54:50","16:58:00",-190,"1Y41"
"1128","Thursday",15,36,0.25,23,2,14,0,"NTNG","15:59:35","15:58:00",95,"1Y37"
"1129","Friday",13,42,1.25,26,1.25,14,0,"NTNG","13:56:20","13:58:00",-100,"1Y29"
"1130","Saturday",17,38,0.75,22,3,13,0,"NTNG","17:57:57","17:58:00",-3,"1Y45"
"1131","Wednesday",8,38,0.25,21,0,13,0,"NTNG","08:56:33","08:58:00",-87,"1Y09"
"1132","Saturday",20,34,0,20,0,11,0,"NTNG","20:56:11","20:58:00",-109,"1Y57"
"1133","Monday",16,39,0,21,0,13,0,"NTNG","16:53:18","16:58:00",-282,"1Y41"
"1134","Monday",14,37,0,22,0,14,0,"NTNG","14:54:00","14:58:00",-240,"1Y33"
"1135","Tuesday",11,41,0,18,0,14,0,"NTNG","11:59:22","11:58:00",82,"1Y21"
"1136","Monday",13,41,0,24,1.75,14,0,"NTNG","13:55:08","13:58:00",-172,"1Y29"
"1137","Thursday",7,34,0,20,0,11,0,"NTNG","07:53:05","07:58:00",-295,"1Y05"
"1138","Thursday",11,42,0,21,0,15,0,"NTNG","11:52:57","11:58:00",-303,"1Y21"
"1139","Friday",20,34,0,23,0,11,2,"NTNG","21:00:03","20:58:00",123,"1Y57"
"1140","Monday",8,40,0,19,0,14,0,"NTNG","08:59:50","08:58:00",110,"1Y09"
"1141","Friday",7,30,0,17,0,11,0,"NTNG","07:52:00","07:58:00",-360,"1Y05"
"1142","Sunday",11,24,0,9,0,2,0,"NTNG","11:56:00","11:58:00",-120,"1Y21"
"1143","Thursday",16,37,0,20,0,14,0,"NTNG","16:54:42","16:58:00",-198,"1Y41"
"1144","Saturday",8,35,0,20,0,11,0,"NTNG","08:54:52","08:58:00",-188,"1Y09"
"1145","Saturday",18,33,1,23,3,13,0,"NTNG","19:03:56","18:58:00",356,"1Y49"
"1146","Tuesday",11,39,0.5,22,0.75,14,0,"NTNG","11:55:52","11:58:00",-128,"1Y21"
"1147","Thursday",20,37,2.5,25,3.5,11,0,"NTNG","20:55:10","20:58:00",-170,"1Y57"
"1148","Thursday",14,40,1.25,21,0,14,0,"NTNG","14:53:10","14:58:00",-290,"1Y33"
"1149","Tuesday",17,42,0.25,21,0,15,0,"NTNG","17:55:10","17:58:00",-170,"1Y45"
"1150","Wednesday",19,44,0,23,0,12,0,"NTNG","19:54:54","19:58:00",-186,"1Y53"
"1151","Tuesday",14,40,0,25,0,14,0,"NTNG","14:52:37","14:58:00",-323,"1Y33"
"1152","Thursday",10,38,0.25,24,1,14,0,"NTNG","10:55:16","10:58:00",-164,"1Y17"
"1153","Thursday",10,39,0,25,0,14,0,"NTNG","10:53:53","10:58:00",-247,"1Y17"
"1154","Wednesday",10,39,0,26,0,13,0,"NTNG","10:53:32","10:58:00",-268,"1Y17"
"1155","Thursday",14,40,0,23,0,14,0,"NTNG","14:53:21","14:58:00",-279,"1Y33"
"1156","Wednesday",20,37,1,24,0,10,0,"NTNG","20:57:03","20:58:00",-57,"1Y57"
"1157","Wednesday",17,45,0.5,23,0,14,0,"NTNG","17:53:38","17:58:00",-262,"1Y45"
"1158","Thursday",17,45,0.5,22,0,15,0,"NTNG","18:22:58","17:58:00",1498,"1Y45"
"1159","Monday",18,43,0,25,0,14,0,"NTNG","18:54:27","18:58:00",-213,"1Y49"
"1160","Saturday",14,31,0,26,3,12,0,"NTNG","14:58:10","14:58:00",10,"1Y33"
"1161","Wednesday",11,37,0,20,0,14,0,"NTNG","11:58:55","11:58:00",55,"1Y21"
"1162","Thursday",18,40,4.5,22,1.25,14,0.25,"NTNG","18:57:15","18:58:00",-45,"1Y49"
"1163","Wednesday",14,39,1,21,0,14,0.25,"NTNG","14:53:24","14:58:00",-276,"1Y33"
"1164","Wednesday",13,42,0,24,0,14,0,"NTNG","13:57:21","13:58:00",-39,"1Y29"
"1165","Saturday",20,34,1,22,1.75,11,0,"NTNG","20:59:01","20:58:00",61,"1Y57"
"1166","Saturday",9,33,0,25,0,12,0,"NTNG","09:54:40","09:58:00",-200,"1Y13"
"1167","Sunday",13,23,1,15,0,5,0,"NTNG","13:55:10","13:58:00",-170,"1Y29"
"1168","Wednesday",7,30,0,18,0,11,0,"NTNG","07:52:14","07:58:00",-346,"1Y05"
"1169","Wednesday",18,45,0,25,0,15,0,"NTNG","18:53:18","18:58:00",-282,"1Y49"
"1170","Thursday",12,37,0,22,0.5,14,0,"NTNG","12:53:09","12:58:00",-291,"1Y25"
"1171","Friday",15,36,0.5,23,0.5,14,0,"NTNG","15:53:32","15:58:00",-268,"1Y37"
"1172","Wednesday",12,39,0,21,1,14,0,"NTNG","12:55:25","12:58:00",-155,"1Y25"
"1173","Sunday",18,19,0,18,0,8,0,"NTNG","18:56:06","18:58:00",-114,"1Y49"
"1174","Thursday",17,41,0,24,0,15,0,"NTNG","17:53:40","17:58:00",-260,"1Y45"
"1175","Tuesday",10,40,0,24,0,14,0,"NTNG","10:53:05","10:58:00",-295,"1Y17"
"1176","Thursday",19,42,0.5,27,1,13,0,"NTNG","20:00:09","19:58:00",129,"1Y53"
"1177","Wednesday",16,40,0,20,0,14,0,"NTNG","16:54:05","16:58:00",-235,"1Y41"
"1178","Wednesday",18,43,0.5,23,2,13,0,"NTNG","18:58:45","18:58:00",45,"1Y49"
"1179","Wednesday",8,40,0,20,0,15,0,"NTNG","08:55:26","08:58:00",-154,"1Y09"
"1180","Friday",7,31,0,18,0,11,0,"NTNG","07:54:16","07:58:00",-224,"1Y05"
"1181","Tuesday",18,46,0.5,23,0,14,0,"NTNG","18:59:09","18:58:00",69,"1Y49"
"1182","Tuesday",19,45,0,23,1,13,0,"NTNG","19:54:50","19:58:00",-190,"1Y53"
"1183","Friday",19,39,1.5,22,2.75,12,0,"NTNG","19:53:45","19:58:00",-255,"1Y53"
"1184","Saturday",18,34,0.75,23,1,12,0,"NTNG","18:54:10","18:58:00",-230,"1Y49"
"1185","Tuesday",7,30,0,17,0,11,0,"NTNG","07:52:08","07:58:00",-352,"1Y05"
"1186","Friday",10,40,0,22,0,14,0,"NTNG","10:52:54","10:58:00",-306,"1Y17"
"1187","Wednesday",20,40,1.75,23,2,11,3.5,"NTNG","20:57:15","20:58:00",-45,"1Y57"
"1188","Tuesday",13,39,0.5,22,0,14,0,"NTNG","13:53:05","13:58:00",-295,"1Y29"
"1189","Monday",15,36,0,22,0,14,0,"NTNG","15:57:23","15:58:00",-37,"1Y37"
"1190","Monday",16,37,0,21,0,14,0,"NTNG","16:53:58","16:58:00",-242,"1Y41"
"1191","Tuesday",12,43,0.5,23,0,14,0,"NTNG","12:53:13","12:58:00",-287,"1Y25"
"1192","Sunday",20,20,0,17,0,6,0,"NTNG","20:56:07","20:58:00",-113,"1Y57"
"1193","Wednesday",18,43,0.5,23,0,14,0,"NTNG","18:54:52","18:58:00",-188,"1Y49"
"1194","Wednesday",7,32,0,18,0,11,0,"NTNG","07:51:40","07:58:00",-380,"1Y05"
"1195","Thursday",14,34,0.5,23,0.5,14,0,"NTNG","14:54:03","14:58:00",-237,"1Y33"
"1196","Thursday",11,37,0,24,0,14,0,"NTNG","11:52:11","11:58:00",-349,"1Y21"
"1197","Saturday",13,37,0,24,0,13,0,"NTNG","13:52:29","13:58:00",-331,"1Y29"
"1198","Friday",13,40,0.5,23,0.5,14,0,"NTNG","13:53:37","13:58:00",-263,"1Y29"
"1199","Wednesday",10,43,0,23,0,14,0,"NTNG","10:53:18","10:58:00",-282,"1Y17"
"1200","Tuesday",18,46,0.25,26,0,14,0,"NTNG","18:53:46","18:58:00",-254,"1Y49"
"1201","Thursday",17,42,0.75,22,1.5,15,0,"NTNG","18:03:39","17:58:00",339,"1Y45"
"1202","Monday",16,38,0,20,0,14,0,"NTNG","16:57:12","16:58:00",-48,"1Y41"
"1203","Monday",18,43,0,22,0,12,0,"NTNG","18:55:20","18:58:00",-160,"1Y49"
"1204","Thursday",11,43,0,24,0.25,14,0,"NTNG","11:55:09","11:58:00",-171,"1Y21"
"1205","Sunday",11,23,0,12,0,3,0,"NTNG","11:52:47","11:58:00",-313,"1Y21"
"1206","Monday",11,42,1,19,1,14,0,"NTNG","11:57:00","11:58:00",-60,"1Y21"
"1207","Saturday",19,40,3.75,23,1,12,1.5,"NTNG","20:04:09","19:58:00",369,"1Y53"
"1208","Sunday",20,19,2,20,1.5,7,0,"NTNG","20:55:09","20:58:00",-171,"1Y57"
"1209","Thursday",14,38,0,23,0,14,0,"NTNG","14:57:55","14:58:00",-5,"1Y33"
"1210","Sunday",12,17,0,12,0,7,0,"NTNG","12:56:41","12:58:00",-79,"1Y25"
"1211","Friday",15,39,0,23,0,12,0,"NTNG","15:53:29","15:58:00",-271,"1Y37"
"1212","Monday",19,41,0,24,0,13,0,"NTNG","19:52:38","19:58:00",-322,"1Y53"
"1213","Thursday",14,36,0,25,0.5,14,0,"NTNG","14:52:26","14:58:00",-334,"1Y33"
"1214","Wednesday",7,30,0,15,0,11,0,"NTNG","07:57:22","07:58:00",-38,"1Y05"
"1215","Sunday",17,26,0,17,0,10,0,"NTNG","17:54:30","17:58:00",-210,"1Y45"
"1216","Wednesday",19,40,0.5,26,0,13,0,"NTNG","19:52:24","19:58:00",-336,"1Y53"
"1217","Thursday",12,39,0,21,1,13,0,"NTNG","12:56:38","12:58:00",-82,"1Y25"
"1218","Monday",8,38,0.5,21,0,12,0,"NTNG","08:55:25","08:58:00",-155,"1Y09"
"1219","Wednesday",12,39,0,23,0,14,0,"NTNG","12:53:03","12:58:00",-297,"1Y25"
"1220","Saturday",15,40,0.25,20,0.5,12,0,"NTNG","15:52:10","15:58:00",-350,"1Y37"
"1221","Thursday",11,40,0,22,0.25,14,0,"NTNG","11:56:07","11:58:00",-113,"1Y21"
"1222","Monday",7,34,0,18,0,10,0,"NTNG","07:51:56","07:58:00",-364,"1Y05"
"1223","Monday",8,39,0,21,0,12,0,"NTNG","09:01:20","08:58:00",200,"1Y09"
"1224","Monday",12,37,0.5,19,2,14,0,"NTNG","13:00:51","12:58:00",171,"1Y25"
"1225","Saturday",14,38,1.5,24,1,13,0,"NTNG","14:57:01","14:58:00",-59,"1Y33"
"1226","Thursday",15,37,0,24,1.25,14,0,"NTNG","15:59:30","15:58:00",90,"1Y37"
"1227","Saturday",14,37,0.5,25,1,13,0.5,"NTNG","14:59:35","14:58:00",95,"1Y33"
"1228","Thursday",9,40,0.5,21,0,12,0,"NTNG","09:54:22","09:58:00",-218,"1Y13"
"1229","Friday",20,37,5,21,2,12,0,"NTNG","20:54:12","20:58:00",-228,"1Y57"
"1230","Tuesday",11,41,0,23,0.5,14,0,"NTNG","11:56:31","11:58:00",-89,"1Y21"
"1231","Thursday",9,45,2,24,0.25,13,0,"NTNG","09:53:42","09:58:00",-258,"1Y13"
"1232","Saturday",19,40,0,26,1,12,0.75,"NTNG","19:55:46","19:58:00",-134,"1Y53"
"1233","Tuesday",13,39,0,26,3,13,0,"NTNG","13:53:44","13:58:00",-256,"1Y29"
"1234","Tuesday",15,39,0,17,1.5,14,0,"NTNG","15:54:32","15:58:00",-208,"1Y37"
"1235","Tuesday",18,45,0,24,0,14,0,"NTNG","18:54:42","18:58:00",-198,"1Y49"
"1236","Monday",17,43,0,25,2,15,0,"NTNG","17:53:53","17:58:00",-247,"1Y45"
"1237","Friday",9,45,0,21,1,13,0,"NTNG","09:54:34","09:58:00",-206,"1Y13"
"1238","Thursday",10,37,0.5,24,0,15,0,"NTNG","10:54:02","10:58:00",-238,"1Y17"
"1239","Sunday",15,29,0,17,0,7,0,"NTNG","15:57:11","15:58:00",-49,"1Y37"
"1240","Tuesday",9,47,0.5,21,0,13,0,"NTNG","09:53:34","09:58:00",-266,"1Y13"
"1241","Saturday",16,35,0,23,0,13,0,"NTNG","16:54:28","16:58:00",-212,"1Y41"
"1242","Tuesday",12,41,3.5,22,0.5,13,0,"NTNG","12:58:41","12:58:00",41,"1Y25"
"1243","Friday",12,40,0.75,22,1,14,0,"NTNG","12:53:55","12:58:00",-245,"1Y25"
"1244","Tuesday",9,43,0,21,0,13,0,"NTNG","09:53:01","09:58:00",-299,"1Y13"
"1245","Tuesday",12,41,0,25,0,14,0,"NTNG","12:52:30","12:58:00",-330,"1Y25"
"1246","Saturday",10,36,0,24,0,12,0,"NTNG","11:16:45","10:58:00",1125,"1Y17"
"1247","Wednesday",12,42,1,23,2,13,0,"NTNG","12:53:27","12:58:00",-273,"1Y25"
"1248","Monday",8,35,1.5,20,0,13,0,"NTNG","09:04:09","08:58:00",369,"1Y09"
"1249","Friday",17,42,0.5,23,1.5,16,0.25,"NTNG","17:54:20","17:58:00",-220,"1Y45"
"1250","Monday",8,36,1.5,21,1,13,0,"NTNG","09:05:12","08:58:00",432,"1Y09"
"1251","Thursday",9,40,0.5,22,0.25,13,0,"NTNG","09:54:52","09:58:00",-188,"1Y13"
"1252","Wednesday",14,39,0,22,0,15,0,"NTNG","14:53:29","14:58:00",-271,"1Y33"
"1253","Tuesday",14,41,0,21,0,14,0,"NTNG","14:54:11","14:58:00",-229,"1Y33"
"1254","Wednesday",12,37,1.5,20,1.75,14,0,"NTNG","13:05:07","12:58:00",427,"1Y25"
"1255","Monday",20,37,0,25,6,9,0.5,"NTNG","20:58:18","20:58:00",18,"1Y57"
"1256","Friday",16,39,2,21,1.5,15,0,"NTNG","16:59:29","16:58:00",89,"1Y41"
"1257","Friday",16,40,1,21,0,14,0,"NTNG","16:56:49","16:58:00",-71,"1Y41"
"1258","Saturday",15,34,0.25,21,0,13,0,"NTNG","15:55:12","15:58:00",-168,"1Y37"
"1259","Saturday",18,38,0,23,0,13,0,"NTNG","18:55:27","18:58:00",-153,"1Y49"
"1260","Tuesday",12,37,0,23,0.5,14,0,"NTNG","12:53:05","12:58:00",-295,"1Y25"
"1261","Tuesday",16,39,0,21,1,14,0,"NTNG","16:57:29","16:58:00",-31,"1Y41"
"1262","Tuesday",13,42,0,24,0,12,0,"NTNG","13:53:50","13:58:00",-250,"1Y29"
"1263","Tuesday",16,34,0.75,22,0.25,13,0,"NTNG","16:55:14","16:58:00",-166,"1Y41"
"1264","Wednesday",13,41,0,27,0,14,0,"NTNG","13:55:20","13:58:00",-160,"1Y29"
"1265","Wednesday",16,41,0.5,23,1,14,0,"NTNG","16:52:33","16:58:00",-327,"1Y41"
